Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,19,64733,6017438,Los Angeles,Los Angeles Unified,Hamlin Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1472,Locally funded,N,K,5,327,124,37.90%,155,47.40%,316,120,38.00%,149,47.20%,Y
2018-2019,19,64733,6017446,Los Angeles,Los Angeles Unified,William R. Anton Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,661,590,89.30%,610,92.30%,645,575,89.10%,594,92.10%,Y
2018-2019,19,64733,6017453,Los Angeles,Los Angeles Unified,Hancock Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,712,201,28.20%,228,32.00%,695,198,28.50%,225,32.40%,Y
2018-2019,19,64733,6017461,Los Angeles,Los Angeles Unified,Harbor City Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,554,457,82.50%,484,87.40%,525,438,83.40%,465,88.60%,Y
2018-2019,19,64733,6017479,Los Angeles,Los Angeles Unified,Harding Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,404,256,63.40%,321,79.50%,378,236,62.40%,296,78.30%,Y
2018-2019,19,64733,6017487,Los Angeles,Los Angeles Unified,Harrison Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,407,368,90.40%,378,92.90%,388,349,89.90%,359,92.50%,Y
2018-2019,19,64733,6017495,Los Angeles,Los Angeles Unified,Hart Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,732,643,87.80%,656,89.60%,696,613,88.10%,626,89.90%,Y
2018-2019,19,64733,6017503,Los Angeles,Los Angeles Unified,Haskell Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,588,329,56.00%,410,69.70%,580,325,56.00%,406,70.00%,Y
2018-2019,19,64733,6017511,Los Angeles,Los Angeles Unified,Hawaiian Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,618,544,88.00%,565,91.40%,589,520,88.30%,541,91.90%,Y
2018-2019,19,64733,6017529,Los Angeles,Los Angeles Unified,Haynes Charter For Enriched Studies,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1470,Locally funded,N,K,5,405,81,20.00%,91,22.50%,402,80,19.90%,90,22.40%,Y
2018-2019,19,64733,6017537,Los Angeles,Los Angeles Unified,Hazeltine Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,753,649,86.20%,674,89.50%,705,618,87.70%,643,91.20%,Y
2018-2019,19,64733,6017545,Los Angeles,Los Angeles Unified,Heliotrope Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,627,538,85.80%,569,90.70%,589,509,86.40%,540,91.70%,Y
2018-2019,19,64733,6017552,Los Angeles,Los Angeles Unified,Herrick Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,491,362,73.70%,400,81.50%,464,344,74.10%,379,81.70%,Y
2018-2019,19,64733,6017586,Los Angeles,Los Angeles Unified,Hillcrest Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,607,550,90.60%,554,91.30%,575,523,91.00%,527,91.70%,Y
2018-2019,19,64733,6017594,Los Angeles,Los Angeles Unified,Hillside Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,124,111,89.50%,113,91.10%,121,108,89.30%,110,90.90%,Y
2018-2019,19,64733,6017602,Los Angeles,Los Angeles Unified,Hobart Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,632,561,88.80%,580,91.80%,612,548,89.50%,567,92.60%,Y
2018-2019,19,64733,6017610,Los Angeles,Los Angeles Unified,Holmes Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,222,213,95.90%,215,96.80%,218,209,95.90%,211,96.80%,Y
2018-2019,19,64733,6017628,Los Angeles,Los Angeles Unified,Hooper Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,1,5,949,885,93.30%,910,95.90%,949,885,93.30%,910,95.90%,Y
2018-2019,19,64733,6017636,Los Angeles,Los Angeles Unified,Hoover Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,744,687,92.30%,697,93.70%,678,632,93.20%,642,94.70%,Y
2018-2019,19,64733,6017644,Los Angeles,Los Angeles Unified,Hubbard Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,578,416,72.00%,490,84.80%,540,396,73.30%,465,86.10%,Y
2018-2019,19,64733,6017651,Los Angeles,Los Angeles Unified,Humphreys Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,612,551,90.00%,572,93.50%,583,528,90.60%,547,93.80%,Y
2018-2019,19,64733,6017669,Los Angeles,Los Angeles Unified,Huntington Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,311,265,85.20%,271,87.10%,294,254,86.40%,260,88.40%,Y
2018-2019,19,64733,6017677,Los Angeles,Los Angeles Unified,YES Academy,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,527,497,94.30%,505,95.80%,498,472,94.80%,478,96.00%,Y
2018-2019,19,64733,6017685,Los Angeles,Los Angeles Unified,Ivanhoe Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,465,48,10.30%,63,13.50%,465,48,10.30%,63,13.50%,Y
2018-2019,19,64733,6017693,Los Angeles,Los Angeles Unified,Justice Street Academy Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1487,Locally funded,N,K,5,390,119,30.50%,143,36.70%,379,114,30.10%,138,36.40%,Y
2018-2019,19,64733,6017701,Los Angeles,Los Angeles Unified,Kenter Canyon Elementary Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,227,Locally funded,N,K,5,557,39,7.00%,42,7.50%,550,39,7.10%,42,7.60%,Y
2018-2019,19,64733,6017719,Los Angeles,Los Angeles Unified,Kentwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,340,79,23.20%,100,29.40%,333,77,23.10%,98,29.40%,Y
2018-2019,19,64733,6017727,Los Angeles,Los Angeles Unified,Kester Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,"1,037",432,41.70%,529,51.00%,"1,011",423,41.80%,518,51.20%,Y
2018-2019,19,64733,6017735,Los Angeles,Los Angeles Unified,Kittridge Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,817,701,85.80%,730,89.40%,775,674,87.00%,702,90.60%,Y
2018-2019,19,64733,6017743,Los Angeles,Los Angeles Unified,Knollwood Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1486,Locally funded,N,K,5,407,203,49.90%,256,62.90%,402,202,50.20%,254,63.20%,Y
2018-2019,19,64733,6017750,Los Angeles,Los Angeles Unified,La Salle Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,385,359,93.20%,367,95.30%,350,326,93.10%,334,95.40%,Y
2018-2019,19,64733,6017768,Los Angeles,Los Angeles Unified,Lanai Road Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,574,30,5.20%,36,6.30%,561,29,5.20%,35,6.20%,Y
2018-2019,19,64733,6017776,Los Angeles,Los Angeles Unified,Langdon Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,645,607,94.10%,618,95.80%,586,551,94.00%,561,95.70%,Y
2018-2019,19,64733,6017784,Los Angeles,Los Angeles Unified,Lankershim Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,389,318,81.70%,334,85.90%,362,298,82.30%,312,86.20%,Y
2018-2019,19,64733,6017792,Los Angeles,Los Angeles Unified,Lassen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,435,334,76.80%,391,89.90%,426,327,76.80%,383,89.90%,Y
2018-2019,19,64733,6017800,Los Angeles,Los Angeles Unified,Latona Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,164,133,81.10%,139,84.80%,153,128,83.70%,133,86.90%,Y
2018-2019,19,64733,6017818,Los Angeles,Los Angeles Unified,Laurel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,265,195,73.60%,209,78.90%,261,193,73.90%,206,78.90%,Y
2018-2019,19,64733,6017826,Los Angeles,Los Angeles Unified,Leapwood Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,263,169,64.30%,192,73.00%,244,159,65.20%,180,73.80%,Y
2018-2019,19,64733,6017834,Los Angeles,Los Angeles Unified,Leland Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,473,333,70.40%,375,79.30%,461,324,70.30%,366,79.40%,Y
2018-2019,19,64733,6017842,Los Angeles,Los Angeles Unified,Lemay Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,394,255,64.70%,311,78.90%,385,246,63.90%,302,78.40%,Y
2018-2019,19,64733,6017859,Los Angeles,Los Angeles Unified,Liberty Boulevard Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,586,511,87.20%,542,92.50%,555,487,87.70%,516,93.00%,Y
2018-2019,19,64733,6017867,Los Angeles,Los Angeles Unified,Liggett Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,706,612,86.70%,647,91.60%,655,580,88.50%,613,93.60%,Y
2018-2019,19,64733,6017875,Los Angeles,Los Angeles Unified,Lillian Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,491,455,92.70%,476,96.90%,454,423,93.20%,442,97.40%,Y
2018-2019,19,64733,6017883,Los Angeles,Los Angeles Unified,Limerick Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,769,638,83.00%,680,88.40%,755,626,82.90%,666,88.20%,Y
2018-2019,19,64733,6017891,Los Angeles,Los Angeles Unified,Lockhurst Drive Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1478,Locally funded,N,K,5,486,99,20.40%,109,22.40%,474,96,20.30%,106,22.40%,Y
2018-2019,19,64733,6017909,Los Angeles,Los Angeles Unified,Lockwood Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,418,373,89.20%,395,94.50%,399,359,90.00%,381,95.50%,Y
2018-2019,19,64733,6017917,Los Angeles,Los Angeles Unified,Logan Academy of Global Ecology,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,384,340,88.50%,352,91.70%,367,327,89.10%,339,92.40%,Y
2018-2019,19,64733,6017925,Los Angeles,Los Angeles Unified,Loma Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,738,636,86.20%,678,91.90%,702,610,86.90%,652,92.90%,Y
2018-2019,19,64733,6017933,Los Angeles,Los Angeles Unified,Lomita Math/Science/Technology Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,938,522,55.70%,636,67.80%,927,514,55.40%,627,67.60%,Y
2018-2019,19,64733,6017941,Los Angeles,Los Angeles Unified,Lorena Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,420,371,88.30%,389,92.60%,386,350,90.70%,366,94.80%,Y
2018-2019,19,64733,6017958,Los Angeles,Los Angeles Unified,Loreto Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,321,286,89.10%,296,92.20%,293,261,89.10%,270,92.20%,Y
2018-2019,19,64733,6017966,Los Angeles,Los Angeles Unified,Lorne Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,528,308,58.30%,373,70.60%,520,303,58.30%,368,70.80%,Y
2018-2019,19,64733,6017974,Los Angeles,Los Angeles Unified,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,477,355,74.40%,398,83.40%,473,352,74.40%,395,83.50%,Y
2018-2019,19,64733,6017982,Los Angeles,Los Angeles Unified,Loyola Village Fine And Performing Arts Magnet,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,352,204,58.00%,252,71.60%,351,204,58.10%,252,71.80%,Y
2018-2019,19,64733,6017990,Los Angeles,Los Angeles Unified,Magnolia Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,841,772,91.80%,794,94.40%,825,757,91.80%,778,94.30%,Y
2018-2019,19,64733,6018006,Los Angeles,Los Angeles Unified,Main Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,854,808,94.60%,818,95.80%,798,762,95.50%,771,96.60%,Y
2018-2019,19,64733,6018014,Los Angeles,Los Angeles Unified,Malabar Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,568,510,89.80%,531,93.50%,534,481,90.10%,501,93.80%,Y
2018-2019,19,64733,6018022,Los Angeles,Los Angeles Unified,Manchester Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,1,6,763,728,95.40%,737,96.60%,763,728,95.40%,737,96.60%,Y
2018-2019,19,64733,6018030,Los Angeles,Los Angeles Unified,Manhattan Place Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,357,320,89.60%,329,92.20%,333,299,89.80%,308,92.50%,Y
2018-2019,19,64733,6018048,Los Angeles,Los Angeles Unified,Mar Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,577,67,11.60%,72,12.50%,564,64,11.30%,69,12.20%,Y
2018-2019,19,64733,6018055,Los Angeles,Los Angeles Unified,Marianna Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,335,284,84.80%,303,90.40%,315,269,85.40%,288,91.40%,Y
2018-2019,19,64733,6018063,Los Angeles,Los Angeles Unified,Marquez Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,228,Locally funded,N,K,5,516,64,12.40%,64,12.40%,505,64,12.70%,64,12.70%,Y
2018-2019,19,64733,6018071,Los Angeles,Los Angeles Unified,Marvin Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,731,617,84.40%,648,88.60%,718,605,84.30%,636,88.60%,Y
2018-2019,19,64733,6018089,Los Angeles,Los Angeles Unified,Mayall Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,472,259,54.90%,306,64.80%,463,252,54.40%,298,64.40%,Y
2018-2019,19,64733,6018097,Los Angeles,Los Angeles Unified,Mayberry Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,260,208,80.00%,230,88.50%,255,204,80.00%,225,88.20%,Y
2018-2019,19,64733,6018105,Los Angeles,Los Angeles Unified,McKinley Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,750,706,94.10%,725,96.70%,712,674,94.70%,693,97.30%,Y
2018-2019,19,64733,6018113,Los Angeles,Los Angeles Unified,Melrose Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,443,179,40.40%,214,48.30%,443,179,40.40%,214,48.30%,Y
2018-2019,19,64733,6018121,Los Angeles,Los Angeles Unified,Melvin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,396,330,83.30%,346,87.40%,388,324,83.50%,340,87.60%,Y
2018-2019,19,64733,6018139,Los Angeles,Los Angeles Unified,Menlo Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,498,484,97.20%,489,98.20%,471,457,97.00%,462,98.10%,Y
2018-2019,19,64733,6018147,Los Angeles,Los Angeles Unified,Meyler Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,737,605,82.10%,664,90.10%,699,577,82.50%,632,90.40%,Y
2018-2019,19,64733,6018154,Los Angeles,Los Angeles Unified,Micheltorena Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,388,159,41.00%,192,49.50%,383,157,41.00%,190,49.60%,Y
2018-2019,19,64733,6018162,Los Angeles,Los Angeles Unified,Middleton Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,919,849,92.40%,878,95.50%,919,849,92.40%,878,95.50%,Y
2018-2019,19,64733,6018170,Los Angeles,Los Angeles Unified,Miles Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,980,875,89.30%,924,94.30%,965,863,89.40%,910,94.30%,Y
2018-2019,19,64733,6018188,Los Angeles,Los Angeles Unified,Miramonte Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,711,668,94.00%,683,96.10%,673,632,93.90%,647,96.10%,Y
2018-2019,19,64733,6018196,Los Angeles,Los Angeles Unified,John B. Monlux Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,686,478,69.70%,548,79.90%,675,471,69.80%,541,80.10%,Y
2018-2019,19,64733,6018204,Los Angeles,Los Angeles Unified,Montague Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,115,Directly funded,Y,K,5,819,689,84.10%,757,92.40%,799,671,84.00%,738,92.40%,Y
2018-2019,19,64733,6018212,Los Angeles,Los Angeles Unified,Monte Vista Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,2,6,336,300,89.30%,311,92.60%,336,300,89.30%,311,92.60%,Y
2018-2019,19,64733,6018220,Los Angeles,Los Angeles Unified,Morningside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,550,428,77.80%,495,90.00%,511,399,78.10%,459,89.80%,Y
2018-2019,19,64733,6018238,Los Angeles,Los Angeles Unified,Mountain View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,386,208,53.90%,261,67.60%,380,206,54.20%,259,68.20%,Y
2018-2019,19,64733,6018246,Los Angeles,Los Angeles Unified,Mt. Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,453,52,11.50%,63,13.90%,444,51,11.50%,62,14.00%,Y
2018-2019,19,64733,6018253,Los Angeles,Los Angeles Unified,Multnomah Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,429,263,61.30%,293,68.30%,409,251,61.40%,281,68.70%,Y
2018-2019,19,64733,6018261,Los Angeles,Los Angeles Unified,Murchison Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,435,404,92.90%,411,94.50%,430,400,93.00%,407,94.70%,Y
2018-2019,19,64733,6018279,Los Angeles,Los Angeles Unified,Napa Street Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,478,413,86.40%,430,90.00%,444,388,87.40%,405,91.20%,Y
2018-2019,19,64733,6018287,Los Angeles,Los Angeles Unified,Nestle Avenue Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1465,Locally funded,N,K,5,533,295,55.30%,336,63.00%,526,293,55.70%,333,63.30%,Y
2018-2019,19,64733,6018295,Los Angeles,Los Angeles Unified,Nevada Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,385,298,77.40%,310,80.50%,347,275,79.30%,286,82.40%,Y
2018-2019,19,64733,6018303,Los Angeles,Los Angeles Unified,Nevin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,616,564,91.60%,578,93.80%,577,541,93.80%,554,96.00%,Y
2018-2019,19,64733,6018311,Los Angeles,Los Angeles Unified,Newcastle Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,352,273,77.60%,302,85.80%,324,257,79.30%,284,87.70%,Y
